episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
312,348308,0.0,0.01,-2.0,-1.99
313,349538,0.0,0.01,-2.0,-1.99
314,350552,0.0,0.01,-2.0,-1.99
315,351635,-0.3,0.01,2.0,1.71
316,352491,0.0,0.01,-2.0,-1.99
317,353561,0.0,0.01,-2.0,-1.99
318,354495,0.0,1.0,0.01,2.0,3.01
319,355499,0.0,0.01,-2.0,-1.99
320,356311,0.0,0.01,-2.0,-1.99
321,357704,0.0,0.01,-2.0,-1.99
322,358965,0.0,0.01,-2.0,-1.99
323,360062,0.0,0.01,2.0,2.01
324,361367,0.0,1.0,0.01,2.0,3.01
325,362593,0.0,0.01,-2.0,-1.99
326,363803,0.0,1.0,0.01,2.0,3.01
327,364779,0.0,0.01,-2.0,-1.99
328,365781,0.0,1.0,0.01,2.0,3.01
329,366690,0.0,0.01,-2.0,-1.99
330,368006,0.0,0.01,2.0,2.01
331,369036,0.0,0.01,2.0,2.01
332,370155,0.0,0.01,-2.0,-1.99
333,371072,0.0,1.0,0.01,2.0,3.01
334,372248,0.0,1.0,0.01,2.0,3.01
335,373241,0.0,0.01,2.0,2.01
336,374234,-0.3,0.01,-2.0,-2.29
337,375110,0.0,0.01,-2.0,-1.99
338,375935,0.0,0.01,-2.0,-1.99
339,376949,0.0,0.01,-2.0,-1.99
340,377901,0.0,1.0,0.01,2.0,3.01
341,378713,0.0,-0.5,0.01,2.0,1.51
342,379677,0.0,0.01,-2.0,-1.99
343,380812,0.0,0.01,-2.0,-1.99
344,381925,0.0,1.0,0.01,2.0,3.01
345,382698,0.0,0.01,-2.0,-1.99
346,383589,0.0,0.01,-2.0,-1.99
347,384709,0.0,1.0,0.01,2.0,3.01
348,385582,0.0,0.01,2.0,2.01
349,386341,0.0,0.01,-2.0,-1.99
350,387269,0.0,1.0,0.01,2.0,3.01
351,388156,0.0,1.0,0.01,2.0,3.01
352,389044,0.0,1.0,0.01,2.0,3.01
353,390190,0.0,1.0,0.01,2.0,3.01
354,391124,0.0,1.0,0.01,2.0,3.01
355,392034,0.0,0.01,-2.0,-1.99
356,393021,0.0,0.01,-2.0,-1.99
357,393720,0.0,0.01,2.0,2.01
358,394533,0.0,0.01,-2.0,-1.99
359,395585,-0.3,0.01,2.0,1.71
360,396507,0.0,0.01,2.0,2.01
361,397236,0.0,1.0,0.01,2.0,3.01
362,398103,0.0,0.01,2.0,2.01
363,399187,0.0,0.01,-2.0,-1.99
364,400074,0.0,0.01,2.0,2.01
365,400881,0.0,1.0,0.01,2.0,3.01
366,402031,0.0,1.0,0.01,2.0,3.01
367,402942,0.0,0.01,-2.0,-1.99
368,403922,0.0,1.0,0.01,2.0,3.01
369,404780,0.0,0.01,2.0,2.01
370,405657,0.0,0.01,-2.0,-1.99
371,406780,0.0,0.01,2.0,2.01
372,407717,0.0,0.01,-2.0,-1.99
373,408632,0.0,1.0,0.01,2.0,3.01
374,409596,0.0,1.0,0.01,2.0,3.01
375,410641,0.0,0.01,-2.0,-1.99
376,411439,0.0,0.01,2.0,2.01
377,412466,0.0,0.01,-2.0,-1.99
378,413435,0.0,1.0,0.01,2.0,3.01
379,414364,0.0,1.0,0.01,2.0,3.01
380,415275,0.0,0.01,-2.0,-1.99
381,416296,0.0,1.0,0.01,2.0,3.01
382,417153,0.0,0.01,2.0,2.01
383,418282,0.3,0.01,-2.0,-1.69
384,419464,0.0,0.01,2.0,2.01
385,420481,0.0,0.01,-2.0,-1.99
386,421355,0.0,0.01,2.0,2.01
387,422481,0.0,0.01,-2.0,-1.99
388,423641,0.0,0.01,-2.0,-1.99
389,424426,-0.3,0.01,-2.0,-2.29
390,425407,0.0,0.01,2.0,2.01
391,426361,0.0,1.0,0.01,2.0,3.01
392,427265,0.0,0.01,2.0,2.01
393,428235,0.0,0.01,2.0,2.01
394,429851,0.0,0.01,2.0,2.01
395,430955,0.0,0.01,-2.0,-1.99
396,432097,0.0,0.01,2.0,2.01
397,433160,0.0,0.01,-2.0,-1.99
398,434270,0.0,0.01,-2.0,-1.99
399,435132,0.0,0.01,-2.0,-1.99
400,436190,0.0,0.01,-2.0,-1.99
401,437046,0.0,0.01,-2.0,-1.99
402,437962,0.0,0.01,-2.0,-1.99
403,439255,0.0,0.01,2.0,2.01
404,440193,0.0,1.0,0.01,2.0,3.01
405,441036,0.0,0.01,-2.0,-1.99
406,442043,0.0,0.01,-2.0,-1.99
407,443117,0.0,0.01,2.0,2.01
408,444273,-0.3,0.01,-2.0,-2.29
409,445189,0.0,0.01,-2.0,-1.99
410,446120,0.0,0.01,2.0,2.01
411,447107,0.0,0.01,-2.0,-1.99
412,448289,0.0,0.01,2.0,2.01
413,449743,0.0,0.01,-2.0,-1.99
414,450933,0.0,1.0,0.01,2.0,3.01
415,452078,0.0,0.01,-2.0,-1.99
416,453855,0.0,0.01,2.0,2.01
417,454943,0.0,0.01,2.0,2.01
418,456006,0.0,0.01,-2.0,-1.99
