episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
139,0.912,0.912,71,55,1456,-0.5291187247258518,-0.5255298320711752,800,1456,0.0001
140,0.911,0.911,72,55,1558,-0.5567991839295,-0.5570174486703896,850,1558,0.0001
141,0.911,0.911,73,55,1222,-0.5369136671957184,-0.5298410029712209,950,1222,0.0001
142,0.91,0.91,73,56,1439,-0.5641646755990101,-0.5752014324071517,900,1439,0.0001
143,0.909,0.909,73,57,1351,-0.6602209923154585,-0.6357300470785973,500,1351,0.0001
144,0.909,0.909,74,57,1188,-0.44143320059527624,-0.4566297346831847,300,1188,0.0001
145,0.908,0.908,74,58,1455,-0.7438103371126631,-0.7054975707086794,700,1455,0.0001
146,0.908,0.908,75,58,1282,-0.5889330104591183,-0.5926660991925218,750,1282,0.0001
147,0.907,0.907,75,59,1147,-0.43711561266511084,-0.4445429934175457,200,1147,0.0001
148,0.906,0.906,76,59,1134,-0.5116579475636646,-0.5204441434235161,900,1134,0.0001
149,0.906,0.906,77,59,1215,-0.49452030943521535,-0.5033795656989324,100,1215,0.0001
150,0.905,0.905,77,60,1879,-0.5781740594013773,-0.5888146671428535,900,1879,0.0001
151,0.904,0.904,77,61,1718,-0.7738492468986247,-0.7314457695497792,650,1718,0.0001
152,0.904,0.904,77,62,1208,-0.6260102304002857,-0.6362275241010109,450,1208,0.0001
153,0.903,0.903,78,62,1066,-0.6830312201319183,-0.7327894741941301,350,1066,0.0001
154,0.902,0.902,78,63,1312,-0.5075360977958072,-0.5142431128136824,900,1312,0.0001
155,0.902,0.902,79,63,1223,-0.5395507185243129,-0.560875665203514,850,1223,0.0001
156,0.901,0.901,79,63,5567,-0.24597258199970765,-0.2454814125617265,350,5567,0.0001
157,0.901,0.901,80,63,1169,-0.5039458188889777,-0.5188395553346514,300,1169,0.0001
158,0.9,0.9,80,64,1520,-0.5730251630246632,-0.5688921833942,600,1520,0.0001
159,0.899,0.899,80,65,1220,-0.6386086968364313,-0.6365037420074242,450,1220,0.0001
160,0.899,0.899,81,65,1602,-0.5926027218765337,-0.6002555967278207,500,1602,0.0001
161,0.898,0.898,82,65,1552,-0.6822583940759136,-0.7050910823578436,800,1552,0.0001
162,0.897,0.897,83,65,1125,-0.4950956795651279,-0.5122721911797674,600,1125,0.0001
163,0.897,0.897,83,66,1231,-0.4960991794268604,-0.5031518901703207,650,1231,0.0001
164,0.896,0.896,83,67,1222,-0.47314278932277143,-0.4642037932104484,950,1222,0.0001
165,0.895,0.895,83,68,1038,-0.4935038079961788,-0.49871893186566746,200,1038,0.0001
166,0.895,0.895,83,69,1363,-0.5888300963229929,-0.577829964886563,700,1363,0.0001
167,0.894,0.894,83,70,3046,-0.510444148678377,-0.5071928464841808,700,3046,0.0001
168,0.894,0.894,83,71,1942,-0.5539639316372691,-0.5566568763768416,750,1942,0.0001
169,0.893,0.893,83,72,1109,-0.6228446787248305,-0.60364594170671,550,1109,0.0001
170,0.892,0.892,83,73,1325,-0.5349414977080308,-0.5265682112651316,900,1325,0.0001
171,0.892,0.892,83,74,1499,-0.6196482000728759,-0.6299175029934985,400,1499,0.0001
172,0.891,0.891,83,75,2564,-0.5659047557839514,-0.5641437930854334,150,2564,0.0001
173,0.89,0.89,84,75,2249,-1.1808391312269242,-1.2521609711211,750,2249,0.0001
174,0.89,0.89,84,76,1215,-0.5106077385889985,-0.49949305728913923,400,1215,0.0001
175,0.889,0.889,85,76,1231,-0.4496011960842391,-0.4571109380539187,650,1231,0.0001
176,0.889,0.889,85,77,1614,-0.9194494426681482,-0.8775983854500765,400,1614,0.0001
177,0.888,0.888,85,78,1484,-0.5440387564848896,-0.5414172292547857,950,1484,0.0001
178,0.887,0.887,86,78,1129,-0.49506046457697495,-0.5047914775928417,350,1129,0.0001
179,0.887,0.887,86,79,1486,-0.6562520630402089,-0.6453668951100987,250,1486,0.0001
180,0.886,0.886,86,80,1558,-0.5677019632588395,-0.5716277519093207,500,1558,0.0001
181,0.885,0.885,86,81,1642,-0.6474142828265709,-0.609336894335719,750,1642,0.0001
182,0.885,0.885,87,81,1383,-0.5631141778696519,-0.5603993719115795,50,1383,0.0001
183,0.884,0.884,87,82,1202,-0.5494108937636141,-0.55979072573803,900,1202,0.0001
184,0.883,0.883,87,83,1061,-0.483709219909502,-0.5029714290513353,600,1061,0.0001
185,0.883,0.883,88,83,1146,-0.5409131072476071,-0.5600084819766757,300,1146,0.0001
186,0.882,0.882,89,83,1540,-0.5516158178487305,-0.5387604100663188,700,1540,0.0001
187,0.882,0.882,89,84,2163,-0.727395653544191,-0.6806508353505042,750,2163,0.0001
188,0.881,0.881,90,84,1264,-0.5686903454379724,-0.5653136005900344,500,1264,0.0001
189,0.88,0.88,91,84,1138,-0.4790656647961126,-0.4977261462354788,150,1138,0.0001
190,0.88,0.88,92,84,1188,-0.5161995475353438,-0.5051823448406111,950,1188,0.0001
